Rank & Name of the institute,City,State,NIRF Score
1. Indian Institute of Technology Madras,Chennai,Tamil Nadu,89.93
2. Indian Institute of Technology Delhi,New Delhi,Delhi,88.08
3. Indian Institute of Technology Bombay,Mumbai,Maharashtra,85.08
4. Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,82.18
5. Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,80.56
6. Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,76.29
7. Indian Institute of Technology Guwahati,Guwahati,Assam,74.90
8. Indian Institute of Technology Hyderabad,Hyderabad,Telangana,66.44
9. National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,64.10
10. Indian Institute of Technology Indore,Indore,Madhya Pradesh,62.88
